iter	Passed	Remaining
0	2	1247
1	4	1186
2	6	1139
3	8	1090
4	10	1078
5	12	1062
6	14	1049
7	17	1047
8	19	1040
9	21	1044
10	23	1044
11	25	1044
12	27	1041
13	29	1039
14	31	1030
15	34	1033
16	36	1033
17	38	1034
18	40	1034
19	43	1032
20	45	1029
21	47	1029
22	49	1025
23	51	1019
24	53	1016
25	55	1011
26	57	1006
27	59	1000
28	61	995
29	63	994
30	65	989
31	67	985
32	69	982
33	71	977
34	73	974
35	75	970
36	77	966
37	79	964
38	81	964
39	83	961
40	85	959
41	87	955
42	89	952
43	91	951
44	93	948
45	95	947
46	98	945
47	100	942
48	102	939
49	104	937
50	106	933
51	108	932
52	110	930
53	112	928
54	114	925
55	116	923
56	118	920
57	120	918
58	122	916
59	124	915
60	126	913
61	128	910
62	130	908
63	132	905
64	135	904
65	137	902
66	139	900
67	141	897
68	143	894
69	145	891
70	147	888
71	149	886
72	151	884
73	153	881
74	155	878
75	157	876
76	158	873
77	160	870
78	162	868
79	164	866
80	166	863
81	168	860
82	170	857
83	172	854
84	174	851
85	176	849
86	178	847
87	180	844
88	182	842
89	184	840
90	186	838
91	188	836
92	190	834
93	192	832
94	194	830
95	196	828
96	198	826
97	200	823
98	202	821
99	204	819
100	206	816
101	208	814
102	210	812
103	212	809
104	214	807
105	216	805
106	218	803
107	220	800
108	222	798
109	224	796
110	226	793
111	228	791
112	230	789
113	232	787
114	234	784
115	236	782
116	238	780
117	240	778
118	242	775
119	244	773
120	246	771
121	248	769
122	250	766
123	251	763
124	253	761
125	255	759
126	257	756
127	259	754
128	261	751
129	263	750
130	265	747
131	267	745
132	269	743
133	271	741
134	273	739
135	275	737
136	277	735
137	279	733
138	281	731
139	283	728
140	285	726
141	287	724
142	289	721
143	291	719
144	293	717
145	295	715
146	296	713
147	298	710
148	300	708
149	302	706
150	304	704
151	306	702
152	308	700
153	310	697
154	312	695
155	314	693
156	316	690
157	318	689
158	320	687
159	322	684
160	324	682
161	326	680
162	328	678
163	329	676
164	331	673
165	333	671
166	336	670
167	338	668
168	340	666
169	342	664
170	344	662
171	346	660
172	347	657
173	349	655
174	351	653
175	353	651
176	355	648
177	357	647
178	359	644
179	361	642
180	363	640
181	365	639
182	367	637
183	369	635
184	371	633
185	373	630
186	375	628
187	377	626
188	379	624
189	381	622
190	383	620
191	385	618
192	387	616
193	389	614
194	391	612
195	393	610
196	395	608
197	397	606
198	399	603
199	401	601
200	403	599
201	405	597
202	407	595
203	409	593
204	410	591
205	413	589
206	415	587
207	417	585
208	419	583
209	421	581
210	423	579
211	424	577
212	426	575
213	428	573
214	430	571
215	432	569
216	434	567
217	436	565
218	438	563
219	440	560
220	442	558
221	444	556
222	446	554
223	448	552
224	450	550
225	452	548
226	454	546
227	456	544
228	458	542
229	460	540
230	462	538
231	463	535
232	465	533
233	467	531
234	470	530
235	472	528
236	474	526
237	476	524
238	478	522
239	480	520
240	482	518
241	483	515
242	485	513
243	488	512
244	490	510
245	492	508
246	494	506
247	496	504
248	498	502
249	500	500
250	502	498
251	504	496
252	506	494
253	508	492
254	510	490
255	512	488
256	514	486
257	516	484
258	518	482
259	520	480
260	522	478
261	523	475
262	525	473
263	527	471
264	529	469
265	531	467
266	533	465
267	536	464
268	538	462
269	540	460
270	542	458
271	544	456
272	546	454
273	548	452
274	550	450
275	552	448
276	553	445
277	556	444
278	557	441
279	559	439
280	561	437
281	563	435
282	565	433
283	567	431
284	569	429
285	571	427
286	573	425
287	575	423
288	577	421
289	579	419
290	581	417
291	583	415
292	585	413
293	587	411
294	589	409
295	590	407
296	592	405
297	594	403
298	596	401
299	598	399
300	600	397
301	602	395
302	604	393
303	606	391
304	608	389
305	610	387
306	612	385
307	614	383
308	616	381
309	618	379
310	620	377
311	622	375
312	624	373
313	626	371
314	628	369
315	630	367
316	632	365
317	634	362
318	636	360
319	638	358
320	640	357
321	642	355
322	644	353
323	646	351
324	648	349
325	650	347
326	652	345
327	654	343
328	656	341
329	658	339
330	660	337
331	662	335
332	664	333
333	666	331
334	668	329
335	670	327
336	672	325
337	674	323
338	676	321
339	678	319
340	680	317
341	682	315
342	684	313
343	686	311
344	688	309
345	689	307
346	691	305
347	693	303
348	695	301
349	697	299
350	699	297
351	701	295
352	704	293
353	706	291
354	707	289
355	709	287
356	711	285
357	713	283
358	715	281
359	717	279
360	719	277
361	721	275
362	723	273
363	725	271
364	727	269
365	729	267
366	735	266
367	737	264
368	739	262
369	741	260
370	743	258
371	745	256
372	747	254
373	749	252
374	751	250
375	753	248
376	755	246
377	757	244
378	759	242
379	761	240
380	763	238
381	765	236
382	767	234
383	768	232
384	770	230
385	772	228
386	774	226
387	776	224
388	778	222
389	780	220
390	782	218
391	784	216
392	786	214
393	788	212
394	790	210
395	792	208
396	794	206
397	796	204
398	798	202
399	800	200
400	802	198
401	803	195
402	805	193
403	807	191
404	810	190
405	812	188
406	814	186
407	816	184
408	818	182
409	820	180
410	822	178
411	824	176
412	826	174
413	828	172
414	830	170
415	832	168
416	834	166
417	836	164
418	838	162
419	840	160
420	842	158
421	844	156
422	846	154
423	847	151
424	849	149
425	851	147
426	854	146
427	856	144
428	858	142
429	860	140
430	862	138
431	864	136
432	865	133
433	867	131
434	869	129
435	871	127
436	873	125
437	875	123
438	877	121
439	879	119
440	881	117
441	883	115
442	885	113
443	887	111
444	889	109
445	891	107
446	893	105
447	895	103
448	897	101
449	899	99
450	901	97
451	903	95
452	905	93
453	906	91
454	908	89
455	910	87
456	912	85
457	915	83
458	917	81
459	919	79
460	921	77
461	923	75
462	925	73
463	927	71
464	929	69
465	930	67
466	932	65
467	934	63
468	936	61
469	938	59
470	940	57
471	943	55
472	945	53
473	947	51
474	949	49
475	950	47
476	952	45
477	954	43
478	956	41
479	958	39
480	960	37
481	962	35
482	964	33
483	966	31
484	968	29
485	970	27
486	972	25
487	974	23
488	976	21
489	978	19
490	980	17
491	982	15
492	984	13
493	986	11
494	988	9
495	990	7
496	992	5
497	994	3
498	996	1
499	997	0
