sample_id,predicted_label,confidence,method,prob_Ball_Fault,prob_Inner_Race_Fault,prob_Normal
0,Ball_Fault,0.68,Adversarial,0.68,0.2,0.12
1,Ball_Fault,0.54,Adversarial,0.54,0.32,0.14
2,Ball_Fault,0.58,Adversarial,0.58,0.32,0.1
3,Ball_Fault,0.72,Adversarial,0.72,0.23,0.05
4,Ball_Fault,0.79,Adversarial,0.79,0.19,0.02
5,Ball_Fault,0.7,Adversarial,0.7,0.27,0.03
6,Inner_Race_Fault,0.84,Adversarial,0.16,0.84,0.0
7,Ball_Fault,0.99,Adversarial,0.99,0.01,0.0
8,Ball_Fault,0.57,Adversarial,0.57,0.42,0.01
9,Ball_Fault,0.74,Adversarial,0.74,0.26,0.0
10,Ball_Fault,0.79,Adversarial,0.79,0.2,0.01
11,Ball_Fault,0.9,Adversarial,0.9,0.09,0.01
12,Inner_Race_Fault,0.96,Adversarial,0.04,0.96,0.0
13,Inner_Race_Fault,0.64,Adversarial,0.29,0.64,0.07
14,Ball_Fault,0.55,Adversarial,0.55,0.44,0.01
15,Ball_Fault,0.81,Adversarial,0.81,0.13,0.06
16,Ball_Fault,0.69,Adversarial,0.69,0.2,0.11
17,Ball_Fault,0.81,Adversarial,0.81,0.17,0.02
18,Ball_Fault,0.77,Adversarial,0.77,0.2,0.03
19,Ball_Fault,0.8,Adversarial,0.8,0.14,0.06
20,Ball_Fault,0.75,Adversarial,0.75,0.14,0.11
21,Inner_Race_Fault,0.61,Adversarial,0.39,0.61,0.0
22,Ball_Fault,0.5,Adversarial,0.5,0.48,0.02
23,Inner_Race_Fault,0.69,Adversarial,0.31,0.69,0.0
24,Inner_Race_Fault,0.92,Adversarial,0.08,0.92,0.0
25,Inner_Race_Fault,0.81,Adversarial,0.19,0.81,0.0
26,Inner_Race_Fault,0.51,Adversarial,0.49,0.51,0.0
27,Ball_Fault,0.55,Adversarial,0.55,0.45,0.0
28,Inner_Race_Fault,0.66,Adversarial,0.34,0.66,0.0
29,Ball_Fault,0.99,Adversarial,0.99,0.01,0.0
30,Ball_Fault,0.6,Adversarial,0.6,0.34,0.06
31,Ball_Fault,0.63,Adversarial,0.63,0.25,0.12
32,Ball_Fault,0.61,Adversarial,0.61,0.33,0.06
33,Ball_Fault,0.74,Adversarial,0.74,0.04,0.22
34,Ball_Fault,0.57,Adversarial,0.57,0.41,0.02
35,Inner_Race_Fault,0.49,Adversarial,0.47,0.49,0.04
36,Ball_Fault,0.69,Adversarial,0.69,0.25,0.06
37,Ball_Fault,0.65,Adversarial,0.65,0.29,0.06
38,Ball_Fault,0.66,Adversarial,0.66,0.25,0.09
39,Ball_Fault,0.63,Adversarial,0.63,0.37,0.0
40,Ball_Fault,0.83,Adversarial,0.83,0.16,0.01
41,Inner_Race_Fault,0.61,Adversarial,0.39,0.61,0.0
42,Ball_Fault,0.6,Adversarial,0.6,0.16,0.24
43,Ball_Fault,0.61,Adversarial,0.61,0.37,0.02
44,Ball_Fault,0.77,Adversarial,0.77,0.18,0.05
45,Ball_Fault,0.75,Adversarial,0.75,0.13,0.12
46,Ball_Fault,0.62,Adversarial,0.62,0.11,0.27
47,Ball_Fault,0.58,Adversarial,0.58,0.38,0.04
